appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
696150,0,Electro Ride: The Neon Racing,Sylwester Osik,"Forestlight Games, PlayWay S.A.",,78.0,13.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,1299.0,1299.0,0.0,0.0
1084980,0,Front Lines,Marco S Hampel,Firez Studios,,156.0,69.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1092040,0,BOMJMAN,Unique Media,Unique Media,,473.0,122.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,1.0
1130620,3,[Chilla's Art] Aka Manto | 赤マント,Chilla's Art,Chilla's Art,,566.0,59.0,0,"20,000 .. 50,000",245.0,0.0,357.0,0.0,449.0,499.0,10.0,5.0
1144970,1,Necronator: Dead Wrong,Toge Productions,Modern Wolf,,333.0,131.0,0,"20,000 .. 50,000",1457.0,0.0,1457.0,0.0,1999.0,1999.0,0.0,1.0
1168990,0,Planet destroyer,High and Wide,Bitlock Studio,,3.0,6.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
1121650,0,Dark Zone Defense,Supernature Studio,Supernature Studio,,30.0,6.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,49.0,199.0,75.0,0.0
1178780,9,BattleGroupVR,SpaceOwl Games,SpaceOwl Games,,648.0,46.0,0,"20,000 .. 50,000",524.0,0.0,524.0,0.0,2499.0,2499.0,0.0,3.0
1193120,0,The Battles of Spwak 3,"CM, Vinicius","CM, Vinicius",,8.0,3.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
951430,8,Dead Age 2: The Zombie Survival RPG,Silent Dreams,Headup,,788.0,235.0,0,"20,000 .. 50,000",1941.0,0.0,2592.0,0.0,413.0,1799.0,77.0,14.0
1210230,1,Suits: Absolute Power,Technomancy Studios,Technomancy Studios,,128.0,8.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,249.0,499.0,50.0,2.0
1232980,0,Alien 911 Prologue,Kicksome Entertainment,Kicksome Entertainment,,49.0,21.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1283580,0,Minimalist Space War,Henning Info,Henning Info,,21.0,0.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
1258870,4,Aura Kingdom 2,"X-Legend Entertainment Co., Ltd.","X-Legend Entertainment Co., Ltd.",,79.0,163.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1373920,0,Sword Rogue,chx125ck,chx125ck,,376.0,13.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1383630,0,Antarctica 88,Euphoria Games,Euphoria Games,,113.0,14.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,599.0,599.0,0.0,0.0
1386040,0,Jelly Brawl: Classic,Cole Chittim,Cole Chittim,,248.0,103.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1377240,0,Five-Finger Gunslinger,Team Rat Vibes,Team Rat Vibes,,8.0,4.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1422090,0,Sink Again,Flatcoon,Flatcoon,,82.0,38.0,0,"20,000 .. 50,000",47.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0
1376140,0,CounterBlocks,Acerola Software,Acerola Software,,1.0,0.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1432730,0,911 Emergency Manager,GoodZeit UG,GoodZeit UG,,2.0,1.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1421970,0,Time Loader: First Memories,Flazm,META Publishing,,83.0,6.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342080,1,Rogue Invader,Squishy Games,Squishy Games,,25.0,1.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,1499.0,1499.0,0.0,1.0
1513650,0,Gun Bots,Protect the King,Self Published,,1.0,0.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1526190,0,Mysteries of Shaola: The Cave,Smiling Dragon RPG Studios,Smiling Dragon RPG Studios,,1.0,0.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,299.0,999.0,70.0,1.0
1553530,0,Allan,Hanged Bunny Studio,Pentacle Technologie,,3.0,0.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1428100,49,Instruments of Destruction,Radiangames,Radiangames,,555.0,15.0,0,"20,000 .. 50,000",102.0,0.0,102.0,0.0,1999.0,1999.0,0.0,35.0
1582260,0,Color Pixel Heroes,Boogygames Studios,Boogygames Studios,,3.0,0.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,1.0
1624620,0,SuperSecret,Joe Pinney,Joe Pinney,,3.0,1.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0
