appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
570,368142,Dota 2,Valve,Valve,,1522243.0,314225.0,0,"200,000,000 .. 500,000,000",38004.0,1697.0,752.0,953.0,0.0,0.0,0.0,624634.0
730,378812,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,,5926012.0,785171.0,0,"50,000,000 .. 100,000,000",30075.0,775.0,6864.0,264.0,0.0,0.0,0.0,747905.0
578080,67089,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.",,1182394.0,907360.0,0,"50,000,000 .. 100,000,000",22155.0,781.0,6470.0,222.0,0.0,0.0,0.0,256666.0
1063730,40836,New World,Amazon Games,Amazon Games,,161467.0,74422.0,0,"50,000,000 .. 100,000,000",6872.0,490.0,3537.0,94.0,3999.0,3999.0,0.0,52597.0
440,97140,Team Fortress 2,Valve,Valve,,844446.0,57326.0,0,"50,000,000 .. 100,000,000",8822.0,694.0,338.0,104.0,0.0,0.0,0.0,97510.0
271590,50354,Grand Theft Auto V,Rockstar North,Rockstar Games,,1223705.0,213100.0,0,"20,000,000 .. 50,000,000",12471.0,599.0,5967.0,186.0,1480.0,1480.0,0.0,97247.0
304930,23740,Unturned,Smartly Dressed Games,Smartly Dressed Games,,450842.0,42037.0,0,"20,000,000 .. 50,000,000",6982.0,3056.0,331.0,829.0,0.0,0.0,0.0,58103.0
550,12024,Left 4 Dead 2,Valve,Valve,,641627.0,16760.0,0,"20,000,000 .. 50,000,000",1997.0,137.0,531.0,61.0,999.0,999.0,0.0,14782.0
105600,38726,Terraria,Re-Logic,Re-Logic,,1008971.0,22198.0,0,"20,000,000 .. 50,000,000",6422.0,975.0,1503.0,434.0,999.0,999.0,0.0,55024.0
230410,20047,Warframe,Digital Extremes,Digital Extremes,,448052.0,67961.0,0,"20,000,000 .. 50,000,000",9151.0,1355.0,408.0,387.0,0.0,0.0,0.0,36227.0
252490,71468,Rust,Facepunch Studios,Facepunch Studios,,728823.0,111648.0,0,"20,000,000 .. 50,000,000",20162.0,1394.0,3417.0,720.0,2679.0,3999.0,33.0,80990.0
1172470,67980,Apex Legends,Respawn Entertainment,Electronic Arts,,447669.0,75176.0,0,"20,000,000 .. 50,000,000",6698.0,737.0,745.0,309.0,0.0,0.0,0.0,186756.0
1599340,162724,Lost Ark,Smilegate RPG,Amazon Games,,128376.0,45481.0,0,"20,000,000 .. 50,000,000",2927.0,1598.0,673.0,499.0,0.0,0.0,0.0,210671.0
1245620,19831,ELDEN RING,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment",,487712.0,52068.0,0,"20,000,000 .. 50,000,000",5701.0,396.0,4846.0,198.0,5999.0,5999.0,0.0,26592.0
236390,31519,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,,265135.0,72898.0,0,"20,000,000 .. 50,000,000",7112.0,780.0,431.0,255.0,0.0,0.0,0.0,51414.0
359550,21234,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,,942045.0,142906.0,0,"20,000,000 .. 50,000,000",12813.0,564.0,2376.0,165.0,1999.0,1999.0,0.0,29169.0
340,8,Half-Life 2: Lost Coast,Valve,Valve,,9546.0,1275.0,0,"20,000,000 .. 50,000,000",143.0,0.0,21.0,0.0,0.0,0.0,0.0,18.0
238960,6926,Path of Exile,Grinding Gear Games,Grinding Gear Games,,167854.0,24783.0,0,"20,000,000 .. 50,000,000",7685.0,2010.0,323.0,1710.0,0.0,0.0,0.0,10624.0
892970,11404,Valheim,Iron Gate AB,Coffee Stain Publishing,,345032.0,17603.0,0,"20,000,000 .. 50,000,000",3228.0,650.0,1480.0,358.0,1999.0,1999.0,0.0,15568.0
1085660,53207,Destiny 2,Bungie,Bungie,,418998.0,81451.0,0,"20,000,000 .. 50,000,000",9047.0,1353.0,407.0,402.0,0.0,0.0,0.0,66747.0
218620,29192,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,,531055.0,63061.0,0,"20,000,000 .. 50,000,000",5431.0,2047.0,592.0,237.0,499.0,999.0,50.0,39039.0
1097150,3936,Fall Guys: Ultimate Knockout,Mediatonic,Ravenscourt,,382327.0,88012.0,0,"20,000,000 .. 50,000,000",1211.0,168.0,574.0,68.0,0.0,0.0,0.0,4761.0
901583,3936,Grand Theft Auto IV: Complete Edition,"Rockstar North, Rockstar Toronto",Rockstar Games,,88400.0,24849.0,0,"10,000,000 .. 20,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1468810,1348,鬼谷八荒 Tale of Immortal,鬼谷工作室,"鬼谷工作室, Lightning Games",,106542.0,105252.0,0,"10,000,000 .. 20,000,000",2995.0,1270.0,1859.0,1151.0,1999.0,1999.0,0.0,8863.0
444090,4119,Paladins,Evil Mojo Games,Hi-Rez Studios,,283428.0,48230.0,0,"10,000,000 .. 20,000,000",2736.0,1421.0,476.0,204.0,0.0,0.0,0.0,5466.0
1240440,3592,Halo Infinite,343 Industries,Xbox Game Studios,,106484.0,43822.0,0,"10,000,000 .. 20,000,000",866.0,634.0,148.0,901.0,0.0,0.0,0.0,4677.0
291480,641,Warface,MY.GAMES,MY.GAMES,,53453.0,25697.0,0,"10,000,000 .. 20,000,000",1282.0,2218.0,125.0,3181.0,0.0,0.0,0.0,1971.0
10,6469,Counter-Strike,Valve,Valve,,200935.0,5186.0,0,"10,000,000 .. 20,000,000",12004.0,385.0,223.0,358.0,999.0,999.0,0.0,11736.0
49520,2189,Borderlands 2,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,250236.0,16744.0,0,"10,000,000 .. 20,000,000",2798.0,171.0,999.0,156.0,1999.0,1999.0,0.0,2678.0
242760,9717,The Forest,Endnight Games Ltd,Endnight Games Ltd,,388151.0,19394.0,0,"10,000,000 .. 20,000,000",1604.0,210.0,910.0,213.0,499.0,1999.0,75.0,6508.0
227940,976,Heroes & Generals,TLM Partners,TLM Partners,,94056.0,46620.0,0,"10,000,000 .. 20,000,000",997.0,79.0,88.0,112.0,0.0,0.0,0.0,2120.0
381210,35543,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,,507417.0,116006.0,0,"10,000,000 .. 20,000,000",9734.0,626.0,1411.0,139.0,799.0,1999.0,60.0,46089.0
346110,34477,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,,479364.0,101131.0,0,"10,000,000 .. 20,000,000",10066.0,1303.0,866.0,971.0,1999.0,1999.0,0.0,55689.0
252950,27941,Rocket League,Psyonix LLC,Psyonix LLC,,496188.0,62998.0,0,"10,000,000 .. 20,000,000",15186.0,430.0,2633.0,258.0,0.0,0.0,0.0,36234.0
320,130,Half-Life 2: Deathmatch,Valve,Valve,,9925.0,1069.0,0,"10,000,000 .. 20,000,000",514.0,0.0,40.0,0.0,499.0,499.0,0.0,147.0
620,1168,Portal 2,Valve,Valve,,304923.0,3754.0,0,"10,000,000 .. 20,000,000",906.0,267.0,518.0,396.0,999.0,999.0,0.0,1632.0
552990,3111,World of Warships,Wargaming Group Limited,Wargaming Group Limited,,88157.0,21307.0,0,"10,000,000 .. 20,000,000",1966.0,201.0,181.0,175.0,0.0,0.0,0.0,6875.0
739630,12215,Phasmophobia,Kinetic Games,Kinetic Games,,471446.0,15333.0,0,"10,000,000 .. 20,000,000",1663.0,162.0,792.0,107.0,1119.0,1399.0,20.0,17577.0
755790,151,Ring of Elysium,Aurora Studio,TCH Scarlet Limited,,74509.0,25757.0,0,"10,000,000 .. 20,000,000",905.0,8.0,102.0,15.0,0.0,0.0,0.0,343.0
301520,182,Robocraft,Freejam,Freejam,,86138.0,32443.0,0,"10,000,000 .. 20,000,000",1300.0,0.0,186.0,0.0,0.0,0.0,0.0,241.0
550650,489,Black Squad,"VALOFE, NS STUDIO",VALOFE,,60510.0,18828.0,0,"10,000,000 .. 20,000,000",2033.0,234.0,56.0,239.0,0.0,0.0,0.0,863.0
386360,5830,SMITE,Titan Forge Games,Hi-Rez Studios,,82996.0,20901.0,0,"10,000,000 .. 20,000,000",5078.0,758.0,183.0,1039.0,0.0,0.0,0.0,13276.0
240,2352,Counter-Strike: Source,Valve,Valve,,137457.0,5438.0,0,"10,000,000 .. 20,000,000",10769.0,1303.0,580.0,146.0,999.0,999.0,0.0,4192.0
291550,11008,Brawlhalla,Blue Mammoth Games,Ubisoft,,253429.0,48464.0,0,"10,000,000 .. 20,000,000",1931.0,163.0,179.0,75.0,0.0,0.0,0.0,11581.0
582010,3964,Monster Hunter: World,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,312785.0,52104.0,0,"10,000,000 .. 20,000,000",8821.0,409.0,3115.0,368.0,2999.0,2999.0,0.0,12313.0
433850,50,Z1 Battle Royale,Daybreak Game Company,Daybreak Game Company,,115286.0,92550.0,0,"10,000,000 .. 20,000,000",3289.0,36.0,127.0,36.0,0.0,0.0,0.0,86.0
444200,4719,World of Tanks Blitz,Wargaming Group Limited,Wargaming Group Limited,,97568.0,23950.0,0,"10,000,000 .. 20,000,000",4547.0,1153.0,162.0,163.0,0.0,0.0,0.0,18706.0
400,342,Portal,Valve,Valve,,111442.0,1748.0,0,"10,000,000 .. 20,000,000",348.0,96.0,179.0,96.0,999.0,999.0,0.0,365.0
417910,0,Street Warriors Online,Crazy Rocks Studios,Crazy Rocks Studios,,965.0,705.0,0,"10,000,000 .. 20,000,000",104.0,0.0,61.0,0.0,199.0,199.0,0.0,1.0
1517290,3094,Battlefield 2042,DICE,Electronic Arts,,44675.0,109078.0,0,"10,000,000 .. 20,000,000",2319.0,489.0,1575.0,589.0,5999.0,5999.0,0.0,5462.0
304050,1162,Trove,gamigo US Inc.,gamigo US Inc.,,71074.0,17050.0,0,"10,000,000 .. 20,000,000",3756.0,972.0,170.0,1907.0,0.0,0.0,0.0,1463.0
261550,26226,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,TaleWorlds Entertainment,,173937.0,24778.0,0,"10,000,000 .. 20,000,000",5970.0,518.0,3685.0,377.0,3999.0,4999.0,20.0,30686.0
70,370,Half-Life,Valve,Valve,,75679.0,2694.0,0,"10,000,000 .. 20,000,000",758.0,43.0,169.0,43.0,999.0,999.0,0.0,450.0
130,25,Half-Life: Blue Shift,Gearbox Software,Valve,,10601.0,996.0,0,"5,000,000 .. 10,000,000",473.0,1.0,88.0,1.0,499.0,499.0,0.0,27.0
220,534,Half-Life 2,Valve,Valve,,146002.0,3775.0,0,"5,000,000 .. 10,000,000",838.0,51.0,369.0,70.0,999.0,999.0,0.0,651.0
251570,16792,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,,205822.0,27170.0,0,"5,000,000 .. 10,000,000",5022.0,859.0,1354.0,626.0,749.0,2499.0,70.0,21806.0
218230,1245,PlanetSide 2,Rogue Planet Games,Daybreak Game Company,,55471.0,12344.0,0,"5,000,000 .. 10,000,000",1089.0,111.0,148.0,147.0,0.0,0.0,0.0,1624.0
