appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,Final Price_$,Initial Price_$,Discount_$,Total Score, Mark ,Tier
570,368142,Dota 2,Valve,Valve,,1522243,314225,0,"200,000,000 .. 500,000,000",38004,1697,752,953,0,0,0,624634,9.53,0,0,1836468,83,A
730,378812,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,,5926012,785171,0,"50,000,000 .. 100,000,000",30075,775,6864,264,0,0,0,747905,2.64,0,0,6711183,88,B
578080,67089,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.",,1182394,907360,0,"50,000,000 .. 100,000,000",22155,781,6470,222,0,0,0,256666,2.22,0,0,2089754,57,B
1063730,40836,New World,Amazon Games,Amazon Games,,161467,74422,0,"50,000,000 .. 100,000,000",6872,490,3537,94,3999,3999,0,52597,0.94,39.99,39.99,235889,68,B
440,97140,Team Fortress 2,Valve,Valve,,844446,57326,0,"50,000,000 .. 100,000,000",8822,694,338,104,0,0,0,97510,1.04,0,0,901772,94,B
271590,50354,Grand Theft Auto V,Rockstar North,Rockstar Games,,1223705,213100,0,"20,000,000 .. 50,000,000",12471,599,5967,186,1480,1480,0,97247,1.86,14.8,14.8,1436805,85,C
304930,23740,Unturned,Smartly Dressed Games,Smartly Dressed Games,,450842,42037,0,"20,000,000 .. 50,000,000",6982,3056,331,829,0,0,0,58103,8.29,0,0,492879,91,C
550,12024,Left 4 Dead 2,Valve,Valve,,641627,16760,0,"20,000,000 .. 50,000,000",1997,137,531,61,999,999,0,14782,0.61,9.99,9.99,658387,97,C
105600,38726,Terraria,Re-Logic,Re-Logic,,1008971,22198,0,"20,000,000 .. 50,000,000",6422,975,1503,434,999,999,0,55024,4.34,9.99,9.99,1031169,98,C
230410,20047,Warframe,Digital Extremes,Digital Extremes,,448052,67961,0,"20,000,000 .. 50,000,000",9151,1355,408,387,0,0,0,36227,3.87,0,0,516013,87,C
252490,71468,Rust,Facepunch Studios,Facepunch Studios,,728823,111648,0,"20,000,000 .. 50,000,000",20162,1394,3417,720,2679,3999,33,80990,7.2,26.79,39.99,840471,87,C
1172470,67980,Apex Legends,Respawn Entertainment,Electronic Arts,,447669,75176,0,"20,000,000 .. 50,000,000",6698,737,745,309,0,0,0,186756,3.09,0,0,522845,86,C
1599340,162724,Lost Ark,Smilegate RPG,Amazon Games,,128376,45481,0,"20,000,000 .. 50,000,000",2927,1598,673,499,0,0,0,210671,4.99,0,0,173857,74,C
1245620,19831,ELDEN RING,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment",,487712,52068,0,"20,000,000 .. 50,000,000",5701,396,4846,198,5999,5999,0,26592,1.98,59.99,59.99,539780,90,C
236390,31519,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,,265135,72898,0,"20,000,000 .. 50,000,000",7112,780,431,255,0,0,0,51414,2.55,0,0,338033,78,C
