appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
351470,Sometimes: Success Requires Sacrifice,Volens Nolens Games,Volens Nolens Games,,411,161,0,"1,000,000 .. 2,000,000",183,0,203,0,0,0,0,0
219890,Antichamber,Alexander Bruce,Demruth,,14910,761,0,"1,000,000 .. 2,000,000",300,0,157,0,1999,1999,0,20
40390,Risen 2: Dark Waters,Piranha Bytes,THQ Nordic,,4344,1110,0,"1,000,000 .. 2,000,000",571,0,202,0,999,999,0,100
47790,Medal of Honor,Electronic Arts,Electronic Arts,,5633,2043,0,"1,000,000 .. 2,000,000",172,0,101,0,1999,1999,0,38
32440,LEGO Star Wars - The Complete Saga,Traveller's Tales,"LucasArts, Lucasfilm, Disney",,18683,634,0,"1,000,000 .. 2,000,000",812,0,205,0,1999,1999,0,142
1088150,Scribble It!,Detach Entertainment,Detach Entertainment,,5427,890,0,"1,000,000 .. 2,000,000",115,0,57,0,0,0,0,110
392160,X4: Foundations,Egosoft,Egosoft,,11012,3460,0,"1,000,000 .. 2,000,000",13761,1710,15278,1710,4999,4999,0,1687
640590,The LEGO NINJAGO Movie Video Game,"Traveller's Tales, TT Games",Warner Bros. Interactive Entertainment,,4654,781,0,"1,000,000 .. 2,000,000",148,0,46,0,1999,1999,0,72
234710,Poker Night 2,Telltale Games,Telltale Games,,5917,879,0,"1,000,000 .. 2,000,000",965,0,403,0,0,0,0,28
680780,DEATH TRAIN - Warning: Unsafe VR Experience,Nomad Assembly,Nomad Assembly,,18,15,0,"1,000,000 .. 2,000,000",125,0,176,0,999,999,0,0
242640,Styx: Master of Shadows,Cyanide Studio,"Cyanide Studio, Nacon",,7217,1496,0,"1,000,000 .. 2,000,000",525,0,211,0,1999,1999,0,41
383150,Dead Island Definitive Edition,Techland,Deep Silver,,12914,2910,0,"1,000,000 .. 2,000,000",514,166,346,318,1999,1999,0,293
233290,Murdered: Soul Suspect,Airtight Games,Square Enix,,12753,2204,0,"1,000,000 .. 2,000,000",303,0,251,0,199,1999,90,24
496300,Kingdom: New Lands,Noio,Raw Fury,,8193,1262,0,"1,000,000 .. 2,000,000",481,0,265,0,299,1499,80,130
32500,STAR WARS: The Force Unleashed II,Aspyr Studios,"LucasArts, Lucasfilm, Disney",,3613,2274,0,"1,000,000 .. 2,000,000",323,415,172,415,1999,1999,0,20
493520,GTFO,10 Chambers,10 Chambers,,35250,6524,0,"1,000,000 .. 2,000,000",1386,282,376,289,2999,3999,25,1945
1134570,F1 2021,Codemasters,Electronic Arts,,29443,4994,0,"1,000,000 .. 2,000,000",5255,659,2556,659,5999,5999,0,1451
236430,DARK SOULS II,"FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc",,35277,4431,0,"1,000,000 .. 2,000,000",4604,2,3203,2,3999,3999,0,143
666140,My Time At Portia,Pathea Games,Team17,,35613,2847,0,"1,000,000 .. 2,000,000",2429,517,926,517,2999,2999,0,939
32470,STAR WARS Empire at War - Gold Pack,Petroglyph,"LucasArts, Lucasfilm, Disney",,28626,745,0,"1,000,000 .. 2,000,000",2273,130,448,127,1999,1999,0,1497
835860,Dreadnought,"Six Foot, YAGER","Grey Box, Six Foot",,3940,1983,0,"1,000,000 .. 2,000,000",913,33,139,66,0,0,0,70
2700,RollerCoaster Tycoon 3: Platinum,"Frontier, Aspyr (Mac)","Frontier, Aspyr (Mac)",,4497,431,0,"1,000,000 .. 2,000,000",2343,0,168,0,0,0,0,72
304650,SUNLESS SEA,Failbetter Games,Failbetter Games,,7054,1415,0,"1,000,000 .. 2,000,000",619,0,203,0,645,1899,66,63
337320,Paint the Town Red,South East Games,South East Games,,19148,915,0,"1,000,000 .. 2,000,000",1668,25,698,33,1999,1999,0,216
610080,Realm Grinder,Divine Games,Kongregate,,5159,769,0,"1,000,000 .. 2,000,000",7772,1980,220,1980,0,0,0,975
7760,X-COM: UFO Defense,"MicroProse Software, Inc",2K,,3077,170,0,"1,000,000 .. 2,000,000",533,0,18,0,499,499,0,60
311240,Zero Escape: Zero Time Dilemma,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",,2745,466,0,"1,000,000 .. 2,000,000",1180,0,1490,0,799,1999,60,29
823500,BONEWORKS,Stress Level Zero,Stress Level Zero,,29296,2550,0,"1,000,000 .. 2,000,000",650,12,353,12,2999,2999,0,224
232010,Euro Truck Simulator,SCS Software,SCS Software,,5382,1151,0,"1,000,000 .. 2,000,000",117,0,55,0,499,499,0,19
212800,Super Crate Box,Vlambeer,Vlambeer,,5824,738,0,"1,000,000 .. 2,000,000",142,0,51,0,0,0,0,3
